type	Organization	Symbol	Greek or Latin crest writing[1]	Founded	Affiliation	Traditional emphasis
Sororities	Alpha Delta Chi	ΑΔΧ	Katoptriozomai (Reflected in mirror) (Greek in Latin characters writing) 	1925	Unaffiliated	Christian
Sororities	Alpha Delta Pi	ΑΔΠ	Ζῶμεν Ἀλλήλοις (We live for each other) 	1851	NPC	Originally secret society, traditional
Sororities	Alpha Epsilon Phi	ΑΕΦ	ΑΛΦΑ ΕΨΙΛΟΝ ΦΙ	1909	NPC	Originally Jewish, traditional
Sororities	Alpha Gamma Delta (Chapters)	ΑΓΔ	ΑΛΦΑ ΓΑΜΜΑ ΔΕΛΤΑ	1904	NPC	Traditional
Sororities	Alpha Kappa Alpha	ΑΚΑ	ΟΦΕΛΥΟΜΕΝ ΥΠΗΡΕΤΙΔΕΣ	1908	NPHC	African-American
Sororities	Alpha Kappa Delta Phi	αΚΔΦ		1990	NAPA	Asian
Sororities	Alpha Nu Omega	ΑΝΩ		1988	UCCFS	Christian
Sororities	Alpha Omega Epsilon (Chapters)	ΑΩΕ		1983	PFA	Professional and social; engineering and technical sciences
Sororities	Alpha Omicron Pi	ΑΟΠ		1897	NPC	Traditional
Sororities	Alpha Phi	ΑΦ	ζευξις χειρι εν χειρι (Union hand in hand) 	1872	NPC	Traditional
Sororities	Alpha Phi Gamma	ΑΦΓ	Σιγμα Αλπηα Αλπηα [sic]	1994	NAPA	Asian
Sororities	Alpha Pi Omega	ΑΠΩ		1994	Unaffiliated	Native American
Sororities	Alpha Sigma Alpha (Chapters)	ΑΣΑ	ΑΓΑΣΘΕ ΣΠΕΥΔΕΤΕ ΑΙΡΕΣΘΕ (Aspire, seek, attain) 	1901	NPC
Sororities	Alpha Sigma Kappa	ΑΣΚ		1989	Unaffiliated national	Math, architecture, engineering, and science
Sororities	Alpha Sigma Rho	ΑΣΡ		1998	NAPA	Asian
Sororities	Alpha Sigma Tau	ΑΣΤ	Αλφα Σιγμα Ταυ	1899	NPC	Traditional
Sororities	Alpha Xi Delta	ΑΞΔ	Αλφα Ξι Δελτα ("Realize your potential") 	1893	NPC	Traditional
Sororities	Beta Sigma Phi	ΒΣΦ	VITA SCIENTIA AMICITIA (Life, Learning and Friendship) 	1931	Unaffiliated	Traditional
Sororities	Ceres			1984	Unaffiliated	Agricultural
Sororities	Chi Omega	ΧΩ		1895	NPC	Traditional
Sororities	Chi Upsilon Sigma	ΧΥΣ		1980	NALFO	Latina
Sororities	Delta Alpha Theta	ΔΑΘ		2005	Unaffiliated national	Multicultural
Sororities	Delta Delta Delta	ΔΔΔ	Ἀσφαλῶς Ἀγαπῶμεν Ἀλλήλας (we steadfastly love one another) 	1888	NPC	Traditional
Sororities	Delta Gamma	ΔΓ		1873	NPC	Traditional
Sororities	Delta Kappa Delta	ΔΚΔ		1999	NAPA	South Asian
Sororities	Delta Phi Epsilon	ΔΦΕ	ESSE QUAM VIDERI (To be rather than to seem to be) 	1917	NPC	Non-sectarian
Sororities	Delta Phi Lambda	ΔΦΛ		1998	NAPA	Asian
Sororities	Delta Phi Omega	ΔΦΩ		1998	NAPA	South Asian
Sororities	Delta Psi Epsilon	ΔΨΕ	ΔΕΛΤΑ ΨΣΙ ΕΠΣΙΛΟΝ [sic]	1999	UCCFS	Christian
Sororities	Delta Sigma Chi	ΔΣΧ		1996	Unaffiliated national	Multicultural
Sororities	Delta Sigma Theta	ΔΣΘ	ΔΕΛΤΑ ΣΙΓΜΑ ΘΕΤΑ [sic]	1913	NPHC	African-American
Sororities	Delta Tau Lambda	ΔΤΛ	δελτα ταυ λαμβδα	1994	Unaffiliated national	Latina
Sororities	Delta Theta Tau	ΔΘΤ		1903	Unaffiliated national	Multicultural
Sororities	Delta Xi Nu	ΔΞΝ		1997	Unaffiliated national	Multicultural
