source	name	description
Drugs	WHITE DOVE	MDMA (Methylenedioxy-methamphetamine)
Drugs	X	MDMA (Methylenedioxy-methamphetamine)
Drugs	XTC	MDMA (Methylenedioxy-methamphetamine)
Drugs	BEANS	Mescaline
Drugs	BUTTONS	Mescaline
Drugs	CACTUS	Mescaline
Drugs	CACTUS BUTTONS	Mescaline
Drugs	CACTUS HEAD	Mescaline
Drugs	CHIEF	Mescaline
Drugs	LOVE TRIP	Mescaline
Drugs	MESC	Mescaline
Drugs	MESCAL	Mescaline
Drugs	MEZC	Mescaline
Drugs	MOON	Mescaline
Drugs	PEYOTE	Mescaline
Drugs	TOPI	Mescaline
Drugs	BEANNIES	Methamphetamine
Drugs	BLUE DEVILS	Methamphetamine
Drugs	CHALK	Methamphetamine
Drugs	CR	Methamphetamine
Drugs	CRANK	Methamphetamine
Drugs	CRYSTAL	Methamphetamine
Drugs	CRYSTAL METH	Methamphetamine
Drugs	FAST	Methamphetamine
Drugs	GRANULATED ORANGE	Methamphetamine
Drugs	ICE	Methamphetamine
Drugs	METH	Methamphetamine
Drugs	MEXICAN CRACK	Methamphetamine
Drugs	PINK	Methamphetamine
Drugs	ROCK	Methamphetamine
Drugs	SPECKLED BIRDS	Methamphetamine
Drugs	SPEED	Methamphetamine
Drugs	TINA	Methamphetamine
Drugs	YELLOW POWDER	Methamphetamine
Drugs	BATHTUB SPEED	Methcathinone
Drugs	CADILLAC EXPRESS	Methcathinone
Drugs	CAT	Methcathinone
Drugs	CRANK	Methcathinone
Drugs	EPHEDRONE	Methcathinone
Drugs	GAGERS	Methcathinone
Drugs	GO-FAST	Methcathinone
Drugs	GOOB	Methcathinone
Drugs	QAT	Methcathinone
Drugs	SLICK SUPERSPEED	Methcathinone
Drugs	STAR	Methcathinone
Drugs	THE C	Methcathinone
Drugs	TWEEKER	Methcathinone
Drugs	WILD CAT	Methcathinone
Drugs	WONDER STAR	Methcathinone
Drugs	AH-PEN-YEN	Opium
Drugs	AUNTI	Opium
Drugs	BIG O	Opium
Drugs	BLACK STUFF	Opium
Drugs	CHINESE TOBACCO	Opium
Drugs	CHOCOLATE	Opium
Drugs	DOPIUM	Opium
Drugs	DOVER’S DECK	Opium
Drugs	DREAM GUN	Opium
Drugs	HARD STUFF	Opium
Drugs	HOCUS	Opium
Drugs	JOY PLANT	Opium
Drugs	O	Opium
