name_source	name	source	type	name1	name2	descr1	descr2	descr3	description
Βύθος	Bythos	Greek	Sea deities			Bythos	Βύθος	 "sea depth"	Bythos (Βύθος) "sea depth"
	Tenes	Greek	mythological figures			Tenes			Tenes — eponymous hero of Tenedos.
Ἀμφίνομος	Amphinomus	Greek	mythological figures			Amphinomus	Ἀμφίνομος	 — a son of Nisos and one of Penelope's suitors during the Odyssey.	Amphinomus (Ἀμφίνομος) — a son of Nisos and one of Penelope's suitors during the Odyssey.
Νείλος	Nilus	Greek	Rustic deities			Nilus	Νείλος		Nilus (Νείλος)
Κελαινώ	Celaeno	Greek	Amazons			Celaeno	Κελαινώ	, an Amazonian warrior, killed by Heracles	Celaeno (Κελαινώ), an Amazonian warrior, killed by Heracles
	Calyce	Greek	mythological figures			Calyce			Calyce — The name of several mythological figures.
	Zarex	Greek	mythological figures			Zarex			Zarex — A son of Carystus and founder of the town Zarex in Laconia.
		Greek	Kings						Echemus, a king of Arcadia
	Crisus	Greek	mythological figures			Crisus			Crisus — founder of the town of Crissa.
Χειμών	Cheimon	Greek	Rustic deities			Cheimon	Χειμών	, winter	Cheimon (Χειμών), winter
Φέρουσα	Pherousa	Greek	Rustic deities			Pherousa	Φέρουσα	 "the bringer"	Pherousa (Φέρουσα) "the bringer"
		Greek	Seers/oracles						Bakis
Εύνοστος	Eunostus	Greek	Agricultural deities			Eunostus	Εύνοστος	, goddess of the flour mill	Eunostus (Εύνοστος), goddess of the flour mill
	Copreus	Greek	mythological figures			Copreus			Copreus — herald of Eurystheus.
Πόνος	Ponos	Greek	Spirits			Ponos	Πόνος	, spirit of hard labour and toil	Ponos (Πόνος), spirit of hard labour and toil
	Eurycyda	Greek	mythological figures			Eurycyda			Eurycyda — A lover of Poseidon.
Ἄελλα	Aella	Greek	Amazons			Aella	Ἄελλα	, an Amazon who was killed by Heracles	Aella (Ἄελλα), an Amazon who was killed by Heracles
		Greek	mythological figures						Tyres, a warrior in the army of Perses who fought and died in the war between Perses and Aeetes.[6]
Πανδαισία	Pandaisia	Greek	Other deities			Pandaisia	Πανδαισία	 "banquet for everyone"	Pandaisia (Πανδαισία) "banquet for everyone"
Ευπορίη	Euporie	Greek	Rustic deities			Euporie	Ευπορίη	 "abundance"	Euporie (Ευπορίη) "abundance"
Ἄρης, Árēs	Ares	Greek	Deity			Ares	Ἄρης, Árēs	 God of war, bloodshed, and violence. The son of Zeus and Hera, he was depicted as a beardless youth, either nude with a helmet and spear or sword, or as an armed warrior. Homer portrays him as moody and unreliable, and as being the most unpopular god on earth and Olympus (Iliad 5.890–1). He generally represents the chaos of war in contrast to Athena, a goddess of military strategy and skill. Ares is known for cuckolding his brother Hephaestus, conducting an affair with his wife Aphrodite. His sacred animals include vultures, venomous snakes, dogs, and boars. His Roman counterpart Mars by contrast was regarded as the dignified ancestor of the Roman people.[3]	Ares (Ἄρης, Árēs) God of war, bloodshed, and violence. The son of Zeus and Hera, he was depicted as a beardless youth, either nude with a helmet and spear or sword, or as an armed warrior. Homer portrays him as moody and unreliable, and as being the most unpopular god on earth and Olympus (Iliad 5.890–1). He generally represents the chaos of war in contrast to Athena, a goddess of military strategy and skill. Ares is known for cuckolding his brother Hephaestus, conducting an affair with his wife Aphrodite. His sacred animals include vultures, venomous snakes, dogs, and boars. His Roman counterpart Mars by contrast was regarded as the dignified ancestor of the Roman people.[3]
Σαβάζιος	Sabazios	Greek	Sky deities			Sabazios	Σαβάζιος	, the nomadic horseman and sky father god of the Phrygians and Thracians	Sabazios (Σαβάζιος), the nomadic horseman and sky father god of the Phrygians and Thracians
Δαμναμενεύς	Damnameneus	Greek	Rustic deities			Damnameneus	Δαμναμενεύς		Damnameneus (Δαμναμενεύς)
	Cleitus	Greek	mythological figures			Cleitus			Cleitus — The name of several mythological figures.
		Greek	Rustic deities						Elete, prayer, the first of the afternoon work hours
Ἀλκυονεύς	Alcyoneus	Greek	Gigantes			Alcyoneus	Ἀλκυονεύς	, a giant usually considered to be one of the Gigantes, slain by Heracles.	Alcyoneus (Ἀλκυονεύς), a giant usually considered to be one of the Gigantes, slain by Heracles.
	Cyanippus	Greek	mythological figures			Cyanippus			Cyanippus — The name of several mythological figures.
Θάλεια	Thalia	Greek	Other deities			Thalia	Θάλεια	, goddess of festive celebrations and rich and luxurious banquets	Thalia (Θάλεια), goddess of festive celebrations and rich and luxurious banquets
Δήλας	Delas	Greek	Rustic deities			Delas	Δήλας		Delas (Δήλας)
Προίωξις	Proioxis	Greek	Spirits			Proioxis	Προίωξις	, spirit of onrush and battlefield pursuit	Proioxis (Προίωξις), spirit of onrush and battlefield pursuit
Απόλλων	Apollo,	Greek	Sky deities			Apollo,	Απόλλων	, Olympian God of the sun, light, knowledge, music, healing, and the arts	Apollo, (Απόλλων), Olympian God of the sun, light, knowledge, music, healing, and the arts
Ἠπιόνη	Epione	Greek	Agricultural deities			Epione	Ἠπιόνη	, goddess of the soothing of pain	Epione (Ἠπιόνη), goddess of the soothing of pain
Ἡρακλῆς	Heracles	Greek	Spirits			Heracles	Ἡρακλῆς	, god of strength	Heracles (Ἡρακλῆς), god of strength
Πηνειός	Peneus	Greek	Rustic deities			Peneus	Πηνειός		Peneus (Πηνειός)
		Greek	Deified mortals						Athena pouring a drink for Heracles, who wears the skin of the Nemean Lion
		Greek	Kings						Proetus, a king of Argos and Tiryns
