name_source	name	source	type	name1	name2	descr1	descr2	descr3	description
Ὅμαδος	Homados	Greek	Spirits			Homados	Ὅμαδος	, spirit of the din of battle	Homados (Ὅμαδος), spirit of the din of battle
	Telephassa	Greek	mythological figures			Telephassa			Telephassa — wife of Agenor and mother of Cadmus.
		Greek	Kings						Creon, a king of Thebes, brother of Jocasta and uncle of Oedipus
Ἄτη	Atë	Greek	Spirits			Atë	Ἄτη	, spirit of delusion, infatuation, blind folly, recklessness, and ruin	Atë (Ἄτη), spirit of delusion, infatuation, blind folly, recklessness, and ruin
Ευρυμεδών	Eurymedon	Greek	Rustic deities			Eurymedon	Ευρυμεδών		Eurymedon (Ευρυμεδών)
		Greek	Kings						Tegyrios, a king of Thrace
	Polyxenus	Greek	mythological figures			Polyxenus			Polyxenus — The name of several mythological figures.
	Chione, daughter of Daedalion	Greek	mythological figures			Chione, daughter of Daedalion			Chione, daughter of Daedalion — mother of Philammon and Autolycus by Apollo and Hermes respectively.
Λοξώ	Loxo	Greek	Rustic deities			Loxo	Λοξώ	, represented trajectory	Loxo (Λοξώ), represented trajectory
	Demodice	Greek	mythological figures			Demodice			Demodice — The name of several mythological figures.
	Myrmidone	Greek	mythological figures			Myrmidone			Myrmidone — The name of several mythological figures.
		Greek	Kings						Cepheus, a king of Ethiopia
Kωκυτός	Kokytos	Greek	Chthonic deities			Kokytos	Kωκυτός	, the river of wailing	Kokytos (Kωκυτός), the river of wailing
	Myrmidon	Greek	mythological figures			Myrmidon			Myrmidon — eponymous progenitor of the Myrmidons.
	Autolycus	Greek	mythological figures			Autolycus			Autolycus — A son of Hermes.
	Dolon	Greek	mythological figures			Dolon			Dolon — A fast runner who fought for Troy in the Trojan War.
Μελπομένη	Melpomene	Greek	Other deities			Melpomene	Μελπομένη	, muse of tragedy	Melpomene (Μελπομένη), muse of tragedy
	Chryseis	Greek	mythological figures			Chryseis			Chryseis — A woman enslaved as a war prize by Agamemnon, who was later forced to return her.
Αυξώ	Auxo	Greek	Rustic deities			Auxo	Αυξώ	, goddess of spring growth	Auxo (Αυξώ), goddess of spring growth
Κακος	Cacus	Greek	Gigantes			Cacus	Κακος	, a fire-breathing Latin giant slain by Heracles.	Cacus (Κακος), a fire-breathing Latin giant slain by Heracles.
son of Endymion	Paeon	Greek	mythological figures			Paeon	son of Endymion	 — Eponym of Paeonia.	Paeon (son of Endymion) — Eponym of Paeonia.
	Cydon	Greek	mythological figures			Cydon			Cydon — The name of several mythological figures.
	Peirous	Greek	mythological figures			Peirous			Peirous — A Thracian ally of the Trojans.
Μελέτη	Melete	Greek	Other deities			Melete	Μελέτη	, muse of meditation and practice	Melete (Μελέτη), muse of meditation and practice
Βριτόμαρτις	Britomartis	Greek	Rustic deities			Britomartis	Βριτόμαρτις	, Cretan goddess of hunting and nets used for fishing, fowling and the hunting of small game	Britomartis (Βριτόμαρτις), Cretan goddess of hunting and nets used for fishing, fowling and the hunting of small game
Ψυχή	Psyche	Greek	Deified mortals			Psyche	Ψυχή	, goddess of the soul	Psyche (Ψυχή), goddess of the soul
	Oxylus	Greek	mythological figures			Oxylus			Oxylus — The name of several mythological figures.
		Greek	Kings						Echetus, a king of Epirus
Σμάραγος	Smaragos	Greek	Other deities			Smaragos	Σμάραγος	, the smasher	Smaragos (Σμάραγος), the smasher
	Stratonice	Greek	mythological figures			Stratonice			Stratonice — The name of several mythological figures.
	Laodamia	Greek	mythological figures			Laodamia			Laodamia — The name of several mythological figures.
	Lampus	Greek	mythological figures			Lampus			Lampus — The name of several mythological figures.
Ἀραί	The Arae	Greek	Spirits			The Arae	Ἀραί	, spirits of curses	The Arae (Ἀραί), spirits of curses
	Themiste	Greek	mythological figures			Themiste			Themiste — A daughter of Ilus and mother of Anchises.
Αἰών (Aiôn)	Aion	Greek	Ancient Greek name						The god of eternity, personifying cyclical and unbounded time. Sometimes equated with Chronos.
	Thoas	Greek	mythological figures			Thoas			Thoas — A leader of the Aetolian armies during the Trojan War.
	Hyllus	Greek	mythological figures			Hyllus			Hyllus — Son of Heracles and Deianira.
Αὖραι	Aurai	Greek	Sky deities			Aurai	Αὖραι	, nymphs of the cooling breeze	Aurai (Αὖραι), nymphs of the cooling breeze
Σίμων	Simon	Greek	Sea deities			Simon	Σίμων		Simon (Σίμων)
Αστραία	Astraea	Greek	Other deities			Astraea	Αστραία	, virgin goddess of justice	Astraea (Αστραία), virgin goddess of justice
		Greek	Other deities						Olympian Muses, daughters of Zeus and Mnemosyne
	Phytalus	Greek	mythological figures			Phytalus			Phytalus — An Attic hero encountered by Demeter.
Κῆτώ	Ceto	Greek	Sea deities			Ceto	Κῆτώ	, goddess of the dangers of the ocean and of sea monsters	Ceto (Κῆτώ), goddess of the dangers of the ocean and of sea monsters
	Polydorus	Greek	mythological figures			Polydorus			Polydorus — The name of several mythological figures.
	Phalerus	Greek	mythological figures			Phalerus			Phalerus — A son of Alcon who sailed with the Argonauts.
		Greek	Kings						Pelops, a king of Pisa and founder of the House of Atreus
Ἀφρόδιτος	Aphroditus	Greek	Other deities			Aphroditus	Ἀφρόδιτος	, Cyprian hermaphroditic Aphrodite	Aphroditus (Ἀφρόδιτος), Cyprian hermaphroditic Aphrodite
	Chthonius	Greek	mythological figures			Chthonius			Chthonius — The name of several mythological figures.
Τελεσφόρος	Telesphorus	Greek	Agricultural deities			Telesphorus	Τελεσφόρος	, demi-god of convalescence, who "brought to fulfillment" recuperation from illness or injury	Telesphorus (Τελεσφόρος), demi-god of convalescence, who "brought to fulfillment" recuperation from illness or injury
	Ctesippus	Greek	mythological figures			Ctesippus			Ctesippus — The name of several mythological figures.
	Narcissus	Greek	mythological figures			Narcissus			Narcissus — A young man who fell in love with his own reflection.
	Canace	Greek	mythological figures			Canace			Canace — A daughter of Aeolus and lover of Poseidon.
		Greek	Kings						Teuthras, a king of Mysia
Αινείας	Aeneas	Greek	Heroes			Aeneas	Αινείας	, a hero of the Trojan War and progenitor of the Roman people	Aeneas (Αινείας), a hero of the Trojan War and progenitor of the Roman people
		Greek	Rustic deities						
		Greek	mythological figures						
Αλφειός	Alpheus	Greek	Rustic deities			Alpheus	Αλφειός		Alpheus (Αλφειός)
	Protesilaus	Greek	mythological figures			Protesilaus			Protesilaus — The first Greek soldier to die at Troy.
Σκύθης	Skythes	Greek	Rustic deities			Skythes	Σκύθης		Skythes (Σκύθης)
Βία "Violence"	Bia	Greek	Spirits			Bia	Βία "Violence"	, the personification of force and raw energy	Bia (Βία "Violence"), the personification of force and raw energy
	Endeïs	Greek	mythological figures			Endeïs			Endeïs — Daughter of Chiron.
	Cassiopeia	Greek	mythological figures			Cassiopeia			Cassiopeia — A vain Ethiopian queen, punished by Poseidon for her hubris.
Ἀπόλλων, Apóllōn	Apollo	Greek	Deity			Apollo	Ἀπόλλων, Apóllōn	 God of music, arts, knowledge, healing, plague, prophecy, poetry, manly beauty, and archery. He is the son of Zeus and Leto, and the twin brother of Artemis. Both Apollo and Artemis use a bow and arrow. Apollo is depicted as young, beardless, handsome and athletic. In myth, he can be cruel and destructive, and his love affairs are rarely happy. He is often accompanied by the Muses. His most famous temple is in Delphi, where he established his oracular shrine. His signs and symbols include the laurel wreath, bow and arrow, and lyre. His sacred animals include roe deer, swans, and pythons. Some late Roman and Greek poetry and mythography identifies him as a sun-god, equivalent to Roman Sol and Greek Helios.[2]	Apollo (Ἀπόλλων, Apóllōn) God of music, arts, knowledge, healing, plague, prophecy, poetry, manly beauty, and archery. He is the son of Zeus and Leto, and the twin brother of Artemis. Both Apollo and Artemis use a bow and arrow. Apollo is depicted as young, beardless, handsome and athletic. In myth, he can be cruel and destructive, and his love affairs are rarely happy. He is often accompanied by the Muses. His most famous temple is in Delphi, where he established his oracular shrine. His signs and symbols include the laurel wreath, bow and arrow, and lyre. His sacred animals include roe deer, swans, and pythons. Some late Roman and Greek poetry and mythography identifies him as a sun-god, equivalent to Roman Sol and Greek Helios.[2]
Βορέας	Boreas	Greek	Sky deities			Boreas	Βορέας	, god of the north wind and of winter	Boreas (Βορέας), god of the north wind and of winter
Ίδυια	Idyia	Greek	Sea deities			Idyia	Ίδυια	, wife of the Colchian king Aeetes, mother of Medea	Idyia (Ίδυια), wife of the Colchian king Aeetes, mother of Medea
Κοῖος (Koîos)	Coeus	Greek	The Twelve Titans						Titan of intellect and the axis of heaven around which the constellations revolved.
		Greek	Kings						Cranaus, a king of Athens
		Greek	mythological figures						Caeneus, formerly Caenis, a woman who was transformed into a man and became a mighty warrior
Νότος	Notus	Greek	Sky deities			Notus	Νότος	 god of the south wind	Notus (Νότος) god of the south wind
	Apheidas	Greek	mythological figures			Apheidas			Apheidas — the name of several mythological figures.
Ἄχος	Achos	Greek	Spirits			Achos	Ἄχος	 "trouble, distress"	Achos (Ἄχος) "trouble, distress"
		Animals							Adzebill
Τηθύς	Tethys	Greek	Sea deities			Tethys	Τηθύς	, Titan goddess of the sources of fresh water, and the mother of the rivers, springs, streams, fountains, and clouds	Tethys (Τηθύς), Titan goddess of the sources of fresh water, and the mother of the rivers, springs, streams, fountains, and clouds
Γλαῦκος	Glaucus	Greek	Deified mortals			Glaucus	Γλαῦκος	, the fisherman's sea god, made immortal after eating a magical herb	Glaucus (Γλαῦκος), the fisherman's sea god, made immortal after eating a magical herb
	Schedius	Greek	mythological figures			Schedius			Schedius — The name of several mythological figures.
Δυσσέβεια	Dyssebeia	Greek	Spirits			Dyssebeia	Δυσσέβεια	, spirit of impiety	Dyssebeia (Δυσσέβεια), spirit of impiety
	Pylaemenes	Greek	mythological figures			Pylaemenes			Pylaemenes — An Enetian ally of the Trojans.
		Animals							Nutria
Ἀκάμας	Acamas, son of Theseus	Greek	mythological figures			Acamas, son of Theseus	Ἀκάμας	 — son of Theseus who fought with the Greeks during the Trojan War.	Acamas, son of Theseus (Ἀκάμας) — son of Theseus who fought with the Greeks during the Trojan War.
Φήμη	Pheme	Greek	Spirits			Pheme	Φήμη	, spirit of rumour, report, and gossip	Pheme (Φήμη), spirit of rumour, report, and gossip
	Cydippe	Greek	mythological figures			Cydippe			Cydippe — The name of several mythological figures.
		Greek	Notable women						Ismene, sister of Antigone
Ἐπίφρων	Epiphron	Greek	Spirits			Epiphron	Ἐπίφρων	, spirit of prudence, shrewdness, thoughtfulness, carefulness, and sagacity	Epiphron (Ἐπίφρων), spirit of prudence, shrewdness, thoughtfulness, carefulness, and sagacity
Ἀλθαία	Althaea	Greek	mythological figures			Althaea	Ἀλθαία	 — mother of Meleager.	Althaea (Ἀλθαία) — mother of Meleager.
	Chrysippe	Greek	mythological figures			Chrysippe			Chrysippe — The name of several mythological figures.
Αλεκτρονα	Alectrona	Greek	Sky deities			Alectrona	Αλεκτρονα	, solar goddess of the morning or waking up	Alectrona (Αλεκτρονα), solar goddess of the morning or waking up
		Greek	Kings						Priam, king of Troy during the Trojan War
	Proclia	Greek	mythological figures			Proclia			Proclia — Daughter of Laomedon, sister of Priam and wife of Cycnus.
Ἀθηνᾶ, Athēnâ	Athena	Greek	Deity			Athena	Ἀθηνᾶ, Athēnâ	 Goddess of reason, wisdom, intelligence, skill, peace, warfare, battle strategy, and handicrafts. According to most traditions, she was born from Zeus's forehead, fully formed and armored. She is depicted as being crowned with a crested helm, armed with shield and spear, and wearing the aegis over a long dress. Poets describe her as "grey-eyed" or having especially bright, keen eyes. She is a special patron of heroes such as Odysseus. She is the patron of the city Athens (which was named after her) and is attributed to various inventions in arts and literature. Her symbol is the olive tree. She is commonly shown as being accompanied by her sacred animal, the owl. Her Roman counterpart is Minerva.[5]	Athena (Ἀθηνᾶ, Athēnâ) Goddess of reason, wisdom, intelligence, skill, peace, warfare, battle strategy, and handicrafts. According to most traditions, she was born from Zeus's forehead, fully formed and armored. She is depicted as being crowned with a crested helm, armed with shield and spear, and wearing the aegis over a long dress. Poets describe her as "grey-eyed" or having especially bright, keen eyes. She is a special patron of heroes such as Odysseus. She is the patron of the city Athens (which was named after her) and is attributed to various inventions in arts and literature. Her symbol is the olive tree. She is commonly shown as being accompanied by her sacred animal, the owl. Her Roman counterpart is Minerva.[5]
Ἄγρων	Agron	Greek	mythological figures			Agron	Ἄγρων	 — son of Eumelus who was transformed into a plover for disrespecting Hermes, Athena and Artemis.	Agron (Ἄγρων) — son of Eumelus who was transformed into a plover for disrespecting Hermes, Athena and Artemis.
	Teleon	Greek	mythological figures			Teleon			Teleon — father of Butes and Eribotes.
	Nyctimus	Greek	mythological figures			Nyctimus			Nyctimus — A son of Lycaon who was killed and served up as a meal to Zeus.
		Greek	Heroes						Meleager, a hero who sailed with the Argonauts and killed the Calydonian Boar
		Greek	Heroes						Ganymede, Trojan hero and lover of Zeus, who was given immortality and appointed cup-bearer to the gods
	Meda	Greek	mythological figures			Meda			Meda — The name of several mythological figures.
Λάχεσις	Lachesis	Greek	Spirits			Lachesis	Λάχεσις	, the measurer of the life thread	Lachesis (Λάχεσις), the measurer of the life thread
	Pyrrha	Greek	mythological figures			Pyrrha			Pyrrha — Wife of Deucalion.
Πολυβώτης	Polybotes	Greek	Gigantes			Polybotes	Πολυβώτης	, typically slain by Poseidon.	Polybotes (Πολυβώτης), typically slain by Poseidon.
Ευδαιμονία	Eudaimonia	Greek	Other deities			Eudaimonia	Ευδαιμονία	 "happiness"	Eudaimonia (Ευδαιμονία) "happiness"
Νύξ	Nyx,	Greek	Sky deities			Nyx,	Νύξ	, goddess of the night	Nyx, (Νύξ), goddess of the night
Αὔρα (Aúra)	Aura	Greek	The Twelve Titans						Titaness of the breeze and the fresh, cool air of early morning.
		Greek	Kings						Lycaon of Arcadia, a deceitful Arcadian king who was transformed by Zeus into a wolf
		Greek	Kings						Sithon, a king of Thrace
Ἀμύκλας	Amyclas	Greek	mythological figures			Amyclas	Ἀμύκλας	 — the name of several mythological figures.	Amyclas (Ἀμύκλας) — the name of several mythological figures.
		Greek	Seers/oracles						Carnus, an Acarnanian seer and lover of Apollo
Θέτις	Thetis	Greek	Sea deities			Thetis	Θέτις	, leader of the Nereids who presided over the spawning of marine life in the sea	Thetis (Θέτις), leader of the Nereids who presided over the spawning of marine life in the sea
Πυρῥιχος	Pyrrhichos	Greek	Rustic deities			Pyrrhichos	Πυρῥιχος	, god of the rustic dance	Pyrrhichos (Πυρῥιχος), god of the rustic dance
	Chthonia	Greek	mythological figures			Chthonia			Chthonia — The name of several mythological figures.
Κάβειροι	Cabeiri	Greek	Rustic deities			Cabeiri	Κάβειροι	, gods or spirits who presided over the Mysteries of the islands of Lemnos and Samothrace	Cabeiri (Κάβειροι), gods or spirits who presided over the Mysteries of the islands of Lemnos and Samothrace
	Atymnius	Greek	mythological figures			Atymnius			Atymnius — The name of several mythological figures.
	Ornytus	Greek	mythological figures			Ornytus			Ornytus — The name of several mythological figures.
Ραψώ	Rhapso	Greek	Other deities			Rhapso	Ραψώ	, minor goddess or nymph whose name apparently refers to sewing	Rhapso (Ραψώ), minor goddess or nymph whose name apparently refers to sewing
Τελέτη	Telete	Greek	Rustic deities			Telete	Τελέτη	, goddess of initiation into the Bacchic orgies	Telete (Τελέτη), goddess of initiation into the Bacchic orgies
	Borus	Greek	mythological figures			Borus			Borus — The name of several mythological figures.
Θέρος	Theros	Greek	Rustic deities			Theros	Θέρος	, summer	Theros (Θέρος), summer
	Dymas	Greek	mythological figures			Dymas			Dymas — The name of several mythological figures.
		Greek	Kings						Autesion, a king of Thebes
Ἀχλύς	Achlys	Greek	Spirits			Achlys	Ἀχλύς	, spirit of the death-mist, personification of sadness, misery and poison	Achlys (Ἀχλύς), spirit of the death-mist, personification of sadness, misery and poison
	Xanthippe	Greek	mythological figures			Xanthippe			Xanthippe — The name of several mythological figures.
	Eurybates	Greek	mythological figures			Eurybates			Eurybates — herald of the Greek armies and squire to Odysseus during the Trojan War.
Πανδία	Pandia	Greek	Sky deities			Pandia	Πανδία	, daughter of Selene and Zeus	Pandia (Πανδία), daughter of Selene and Zeus
Σπονδή	Sponde	Greek	Rustic deities			Sponde	Σπονδή	, libations poured after lunch	Sponde (Σπονδή), libations poured after lunch
	Paris	Greek	mythological figures			Paris			Paris — A son of Priam whose abduction of Helen resulted in the Trojan War.
Ἀριάδνη	Ariadne	Greek	Agricultural deities			Ariadne	Ἀριάδνη	, goddess of vegetation, mazes, paths, fertility, and wine	Ariadne (Ἀριάδνη), goddess of vegetation, mazes, paths, fertility, and wine
Νηρηίδες	Nereides	Greek	Sea deities			Nereides	Νηρηίδες	, sea nymphs	Nereides (Νηρηίδες), sea nymphs
	Aspalis	Greek	mythological figures			Aspalis			Aspalis — A maiden of Melite, Phthia associated with a local cult of Artemis.
		Greek	Kings						Pittheus, a king of Troezen and grandfather of Theseus
Παιδία	Paidia	Greek	Other deities			Paidia	Παιδία	 "play, amusement"	Paidia (Παιδία) "play, amusement"
Γέλως	Gelos	Greek	Spirits			Gelos	Γέλως	, spirit of laughter	Gelos (Γέλως), spirit of laughter
Φάντασος	Phantasos	Greek	Spirits			Phantasos	Φάντασος	 spirit of dreams of fantasy, who takes shape of inanimate objects	Phantasos (Φάντασος) spirit of dreams of fantasy, who takes shape of inanimate objects
Αἴολος	Aeolus	Greek	Deified mortals			Aeolus	Αἴολος	, a king of Thessaly, made the immortal king of the winds by Zeus	Aeolus (Αἴολος), a king of Thessaly, made the immortal king of the winds by Zeus
	Axylus	Greek	mythological figures			Axylus			Axylus — A participant in the Trojan War who fought on the side of Troy.
	Zeuxippe	Greek	mythological figures			Zeuxippe			Zeuxippe — The name of several mythological figures.
	Metaneira	Greek	mythological figures			Metaneira			Metaneira — wife of Celeus, king of Eleusis.
		Greek	Kings						Eteocles, a king of Thebes and son of Oedipus; he and his brother Polynices killed each other
Τιτίας	Titias	Greek	Rustic deities			Titias	Τιτίας		Titias (Τιτίας)
	Hypsenor	Greek	mythological figures			Hypsenor			Hypsenor — The name of several mythological figures.
	Nemesis	Greek	mythological figures			Nemesis			Nemesis — Goddess of revenge.
Ἀπάτη	Apate	Greek	Spirits			Apate	Ἀπάτη	, spirit of deceit, guile, fraud and deception	Apate (Ἀπάτη), spirit of deceit, guile, fraud and deception
Βριζώ	Brizo	Greek	Sea deities			Brizo	Βριζώ	, patron goddess of sailors, who sent prophetic dreams	Brizo (Βριζώ), patron goddess of sailors, who sent prophetic dreams
Αἰγιαλεία	Aegiale	Greek	mythological figures			Aegiale	Αἰγιαλεία	 — unfaithful wife of Diomedes.	Aegiale (Αἰγιαλεία) — unfaithful wife of Diomedes.
		Greek	Kings						Cephalus, a king of Phocis who accidentally killed his own wife
		Greek	Kings						Rhesus, a king of Thrace who sided with Troy in the Trojan War
	Pallene	Greek	mythological figures			Pallene			Pallene — The name of several mythological figures.
		Greek	Heroes						Bouzyges
	Miletus	Greek	mythological figures			Miletus			Miletus — A son of Apollo and founder of the city Miletus.
	Tegeates	Greek	mythological figures			Tegeates			Tegeates — founder of Tegea.
	Eleius	Greek	mythological figures			Eleius			Eleius — The name of several mythological figures.
	Cestrinus	Greek	mythological figures			Cestrinus			Cestrinus — Son of Helenus and Andromache.
	Olenus	Greek	mythological figures			Olenus			Olenus — The name of several mythological figures.
Παλικοί	The Palici	Greek	Rustic deities			The Palici	Παλικοί	, a pair of rustic gods who presided over the geysers and thermal springs in Sicily	The Palici (Παλικοί), a pair of rustic gods who presided over the geysers and thermal springs in Sicily
	Clinis	Greek	mythological figures			Clinis			Clinis — A Babylonian man, transformed into a bird.
Ἀλκιβίη	Alcibie	Greek	Amazons			Alcibie	Ἀλκιβίη	, an Amazonian warrior, killed by Diomedes at Troy	Alcibie (Ἀλκιβίη), an Amazonian warrior, killed by Diomedes at Troy
		Greek	Heroes						Castor, the mortal Dioscuri twin; after Castor's death, his immortal brother Pollux shared his divinity with him in order that they might remain together
Ῥέα	Rhea	Greek	Rustic deities			Rhea	Ῥέα	, the great mother and queen of the mountain wilds	Rhea (Ῥέα), the great mother and queen of the mountain wilds
Μολπή	Molpe	Greek	Sea deities			Molpe	Μολπή		Molpe (Μολπή)
		Greek	Notable women						Briseis, a princess of Lyrnessus, taken by Achilles as a war prize
Ἀλάβανδος	Alabandus	Greek	Deified mortals			Alabandus	Ἀλάβανδος	, he was the founder of the town of Alabanda	Alabandus (Ἀλάβανδος), he was the founder of the town of Alabanda
Ἀντίλοχος	Antilochus	Greek	mythological figures			Antilochus	Ἀντίλοχος	 — a son of Nestor who participated in the Trojan War.	Antilochus (Ἀντίλοχος) — a son of Nestor who participated in the Trojan War.
	Tlepolemus	Greek	mythological figures			Tlepolemus			Tlepolemus — A son of Heracles who fought in the Trojan War of the side of the Greeks.
Ποσειδῶν, Poseidōn	Poseidon	Greek	Deity			Poseidon	Ποσειδῶν, Poseidōn	 God of the sea, rivers, floods, droughts, and earthquakes. He is a son of Cronus and Rhea, and the brother of Zeus and Hades. He rules one of the three realms of the universe, as king of the sea and the waters. In art he is depicted as a mature man of sturdy build, often with a luxuriant beard, and holding a trident. His sacred animals include the horse and the dolphin. His wedding with Amphitrite is often presented as a triumphal procession. In some stories he rapes Medusa, leading to her transformation into a hideous Gorgon and also to the birth of their two children, Pegasus and Chrysaor. His Roman counterpart is Neptune.	Poseidon (Ποσειδῶν, Poseidōn) God of the sea, rivers, floods, droughts, and earthquakes. He is a son of Cronus and Rhea, and the brother of Zeus and Hades. He rules one of the three realms of the universe, as king of the sea and the waters. In art he is depicted as a mature man of sturdy build, often with a luxuriant beard, and holding a trident. His sacred animals include the horse and the dolphin. His wedding with Amphitrite is often presented as a triumphal procession. In some stories he rapes Medusa, leading to her transformation into a hideous Gorgon and also to the birth of their two children, Pegasus and Chrysaor. His Roman counterpart is Neptune.
Χείρων	Chiron	Greek	Rustic deities			Chiron	Χείρων	, the eldest and wisest of the Centaurs	Chiron (Χείρων), the eldest and wisest of the Centaurs
Ἀσκληπιός	Asclepius	Greek	Deified mortals			Asclepius	Ἀσκληπιός	, a Thessalian physician who was struck down by Zeus, to be later recovered by his father Apollo	Asclepius (Ἀσκληπιός), a Thessalian physician who was struck down by Zeus, to be later recovered by his father Apollo
Ὄνειροι	The Oneiroi	Greek	Spirits			The Oneiroi	Ὄνειροι	, spirits of dreams	The Oneiroi (Ὄνειροι), spirits of dreams
Θελξιόπη	Thelxiope	Greek	Sea deities			Thelxiope	Θελξιόπη	 or Thelxiepeia (Θελξιέπεια)	Thelxiope (Θελξιόπη) or Thelxiepeia (Θελξιέπεια)
		Greek	Kings						Amycus, son of Poseidon and king of the Bebryces
Πεισινόη	Peisinoe	Greek	Sea deities			Peisinoe	Πεισινόη	 or Peisithoe (Πεισιθόη)	Peisinoe (Πεισινόη) or Peisithoe (Πεισιθόη)
Πενία	Penia	Greek	Spirits			Penia	Πενία	, spirit of poverty and need	Penia (Πενία), spirit of poverty and need
Αλκυόνη	Alcyone	Greek	Sky deities			Alcyone	Αλκυόνη		Alcyone (Αλκυόνη)
	Penthilus	Greek	mythological figures			Penthilus			Penthilus — The name of several mythological figures.
Αἴσακος	Aesacus	Greek	mythological figures			Aesacus	Αἴσακος	 — son of Priam who was transformed into a bird.	Aesacus (Αἴσακος) — son of Priam who was transformed into a bird.
		Greek	Kings						Erechtheus, a king of Athens
Ὠρείθυια	Orithyia	Greek	mythological figures			Orithyia	Ὠρείθυια	 — an Athenian princess abducted by Boreas and made the goddess of cold, gusty mountain winds	Orithyia (Ὠρείθυια) — an Athenian princess abducted by Boreas and made the goddess of cold, gusty mountain winds
Ηγεμόνη	Hegemone	Greek	Other deities			Hegemone	Ηγεμόνη	 "mastery"	Hegemone (Ηγεμόνη) "mastery"
Ἀκταίων	Actaeon	Greek	mythological figures			Actaeon	Ἀκταίων	 — a hunter transformed into a stag by Artemis and devoured by his own hounds.	Actaeon (Ἀκταίων) — a hunter transformed into a stag by Artemis and devoured by his own hounds.
	Eurymedousa	Greek	mythological figures			Eurymedousa			Eurymedousa — The name of several mythological figures.
Σειρῆνες	The Sirens	Greek	Sea deities			The Sirens	Σειρῆνες	, sea nymphs who lured sailors to their death with their song	The Sirens (Σειρῆνες), sea nymphs who lured sailors to their death with their song
		Greek	Kings						Abas, a king of Argos
Αλεξιαρης and Ανικητος	Alexiares and Anicetus	Greek	Other deities			Alexiares and Anicetus	Αλεξιαρης and Ανικητος	, twin sons of Heracles who presided over the defence of fortified towns and citadels	Alexiares and Anicetus (Αλεξιαρης and Ανικητος), twin sons of Heracles who presided over the defence of fortified towns and citadels
Μενοίτιος (Menoítios)	Menoetius	Greek	The Twelve Titans						Titan of violent anger, rash action, and human mortality. Killed by Zeus.
		Greek	Rustic deities						Ma, a local goddess at Comana in Cappadocia
Γλαῦκος	Glaucus	Greek	Sea deities			Glaucus	Γλαῦκος	, the fisherman's sea god and oracle	Glaucus (Γλαῦκος), the fisherman's sea god and oracle
	Chelone	Greek	mythological figures			Chelone			Chelone — changed into a tortoise by Hermes.
		Greek	Kings						Melampus, a legendary soothsayer and healer, and king of Argos
	Euryte	Greek	mythological figures			Euryte			Euryte — Daughter of Hippodamas.
Ἑρμάφρόδιτός	Hermaphroditus	Greek	Other deities			Hermaphroditus	Ἑρμάφρόδιτός	, god of hermaphrodites and effeminate men	Hermaphroditus (Ἑρμάφρόδιτός), god of hermaphrodites and effeminate men
Ὁρμή	Horme	Greek	Spirits			Horme	Ὁρμή	, spirit of impulse or effort (to do a thing), eagerness, setting oneself in motion, and starting an action	Horme (Ὁρμή), spirit of impulse or effort (to do a thing), eagerness, setting oneself in motion, and starting an action
		Greek	Kings						Ogygus, a king of Thebes
		Greek	Kings						Pylades, a king of Phocis and friend of Orestes
	Thestius	Greek	mythological figures			Thestius			Thestius — father of Iphicles.
		Greek	mythological figures						
	Myrtilus	Greek	mythological figures			Myrtilus			Myrtilus — charioteer of Oenomaus.
Αἰθαλίδης	Aethalides	Greek	mythological figures			Aethalides	Αἰθαλίδης	 — herald of the Argonauts.	Aethalides (Αἰθαλίδης) — herald of the Argonauts.
	Periphetes	Greek	mythological figures			Periphetes			Periphetes — The name of several mythological figures.
Τόννης	Tonnes	Greek	Rustic deities			Tonnes	Τόννης		Tonnes (Τόννης)
Ἀντέρως	Anteros	Greek	Spirits			Anteros	Ἀντέρως	, god of requited love	Anteros (Ἀντέρως), god of requited love
Προμηθεύς (Promētheús)	Prometheus	Greek	The Twelve Titans						Titan of forethought and crafty counsel, and creator of mankind.
Δρυάδες	Dryades	Greek	Rustic deities			Dryades	Δρυάδες	, tree and forest nymphs	Dryades (Δρυάδες), tree and forest nymphs
Θελχτήρεια	Thelchtereia	Greek	Sea deities			Thelchtereia	Θελχτήρεια		Thelchtereia (Θελχτήρεια)
	Hyperippe	Greek	mythological figures			Hyperippe			Hyperippe — The name of several mythological figures.
Ἀπορία	Aporia	Greek	Spirits			Aporia	Ἀπορία	, spirit of difficulty, perplexity, powerlessness, and want of means	Aporia (Ἀπορία), spirit of difficulty, perplexity, powerlessness, and want of means
Θάνατος	Thanatos	Greek	Chthonic deities			Thanatos	Θάνατος	, spirit of death and minister of Hades	Thanatos (Θάνατος), spirit of death and minister of Hades
		Greek	Seers/oracles						Ennomus, a Mysian seer, killed by Achilles during the Trojan War
Eὐσέβεια	Eusebeia	Greek	Spirits			Eusebeia	Eὐσέβεια	, spirit of piety, loyalty, duty, and filial respect	Eusebeia (Eὐσέβεια), spirit of piety, loyalty, duty, and filial respect
Κέρκοπες	The Cercopes	Greek	Rustic deities			The Cercopes	Κέρκοπες	, a pair of monkey-like thieves who plagued the land of Lydia in western Anatolia	The Cercopes (Κέρκοπες), a pair of monkey-like thieves who plagued the land of Lydia in western Anatolia
		Greek	Kings						Lycurgus of Arcadia, a king of Arcadia
